Ille-et-Vilaine;Vitré;35500;Lycée sainte jeanne d’arc;;
Morbihan;Hennebont;56704;Lycée général et technologique Victor Hugo;Public;50 bis rue Victor Hugo
Morbihan;Lanester;56601;Lycée polyvalent Jean Macé;Public;1 rue DE L'ABBE TOURNIER
Morbihan;Hennebont;56704;Lycée général et technologique privé Notre-Dame du Voeu;Privé;42 rue Jules Ferry
Morbihan;Lorient;56100;Lycée général et technologique Dupuy de Lôme;Public;
Morbihan;Lorient;56102;Lycée général et technologique privé Saint Louis;Privé;AVENUE LAPLAGNE
Morbihan;Vannes;56000;Lycée général et technologique privé Saint Paul;Privé;300  AVENUE LOUIS MEDARD
Morbihan;Vannes;56000;Lycée Charles de Gaulle;Public;
Morbihan;Sainte-Anne-d'Auray;56400;Lycée polyvalent privé Sainte Anne-Saint Louis;Privé;717 avenue JEAN MERMOZ
Calvados;Douvres-la-Délivrande;14440;Lycée général privé Cours Notre-Dame;Privé;3 rue Louis Marchal
Manche;Cherbourg-en-Cotentin;50130;Lycée général et technologique Jean François Millet;Public;1 bis rue DU SEMINAIRE
Seine-Maritime;Déville-lès-Rouen;76250;Lycée général et technologique Vallée du Cailly;Public;Rue ST EXUPERY
Seine-Maritime;Elbeuf;76503;Lycée général et technologique André Maurois;Public;14 rue MESCLIN
Seine-Maritime;Le Havre;76066;Lycée général François Ier;Public;2 r LICES GEORGES POMPIDOU
Seine-Maritime;Lillebonne;76170;Lycée général et technologique Guillaume Le Conquérant;Public;1 avenue DU BREUIL
Seine-Maritime;Rouen;76044;Lycée général Pierre Corneille;Public;10 boulevard Gambetta
Seine-Maritime;Rouen;76044;Lycée général et technologique Jeanne d'Arc;Public;23 rue DE LA VANNE
Seine-Maritime;Sotteville-lès-Rouen;76300;Lycée général et technologique Marcel Sembat;Public;Rue MARIE-ROSE GINESTE
Côte-d'Or;Auxonne;21130;Lycée polyvalent Prieur de La Côte d'Or;Public;28 rue Voltaire
Côte-d'Or;Chevigny-Saint-Sauveur;21800;Lycée général et technologique Jean-Marc Boivin;Public;6 avenue PRESIDENT KENNEDY
Côte-d'Or;Dijon;21000;Lycée général et technologique Montchapet;Public;4 RUE MARIE DOUCHET
Côte-d'Or;Semur-en-Auxois;21140;Lycée polyvalent régional Anna Judic;Public;5 rue PAUL NEY
Doubs;Besançon;25022;Lycée général et technologique Louis Pergaud;Public;20 boulevard MARCEL SEMBAT
Jura;Salins-les-Bains;39110;Lycée Victor Considerant;Public;18 place GABRIEL RAMBAUD
Haute-Saône;Lure;70204;Lycée polyvalent Georges Colomb;Public;57 rue DE LA CHARITE
Saône-et-Loire;Charolles;71120;Lycée polyvalent Julien Wittmer;Public;1 RUE DE L'EGLISE
Saône-et-Loire;Cluny;71250;Lycée général et technologique La Prat's;Public;2 RUE DE METZ
Saône-et-Loire;Mâcon;71018;Lycée général et technologique Lamartine;Public;Rue DES ANGLAIS
Saône-et-Loire;Mâcon;71000;Lycée René Cassin;Public;
Saône-et-Loire;Paray-le-Monial;71600;Lycée général et technologique privé Jeanne d'Arc;Privé;34 rue Gambetta
Saône-et-Loire;Tournus;71700;Lycée général et technologique Gabriel Voisin;Public;22 rue DE LA MESANGE
Territoire de Belfort;Belfort;90016;Lycée général et technologique Condorcet;Public;8  AVENUE DEBROUSSE
Eure-et-Loir;Chartres;28006;Lycée général Marceau;Public;Route D'HONFLEUR
Indre;Châteauroux;36000;Lycée général Jean Giraudoux;Public;12 rue Guillaume Fouace
Indre-et-Loire;Joué-lès-Tours;37000;Lycée d’arsonval;Public;
Indre-et-Loire;Tours;37013;Lycée général et technologique Balzac;Public;Rue E  DE SURVILLE
Indre-et-Loire;Tours;37010;Lycée général Descartes;Public;10 rue du Collège
Indre-et-Loire;Tours;37012;Lycée général et technologique Paul-Louis Courier;Public;10 rue du Collège
Loir-et-Cher;Blois;41018;Lycée général et technologique Camille Claudel;Public;Lieu-dit Les Cours
Loir-et-Cher;Blois;41018;Lycée polyvalent Augustin Thierry;Public;2 rue JEAN MONNET
Loiret;Gien;45502;Lycée général et technologique Bernard Palissy;Public;CHEMIN DES VERTUS
Loiret;Orléans;45074;Lycée général et technologique Charles Peguy;Public;1575 boulevard NELSON MANDELA
Loiret;Orléans;45000;Lycée général et technologique privé Sainte Croix - Saint Euverte;Privé;Avenue Georges Braque
La Réunion;Saint-Benoît;97470;Lycée général et technologique Amiral Pierre Bouvet;Public;Place Fénelon
La Réunion;Saint-Denis;97404;Lycée général et technologique privé Levavasseur;Privé;13 RUE DU COUVENT
La Réunion;Saint-Joseph;97480;Lycée général et technologique Pierre Poivre;Public;151 rue JEAN DE GOUY
La Réunion;Saint-Leu;97424;Lycée polyvalent Stella;Public;817 rue CHARLES BOURSEUL
La Réunion;Le Tampon;97430;Lycée polyvalent Pierre Lagourgue;Public;26 rue François Noël Babeuf
Guadeloupe;Sainte-Clothilde;97491;Lycée Leconte de Lisle;Public;
Marne;Reims;51726;Lycée général et technologique Marc Chagall;Public;19 rue DES MEURES
Meurthe-et-Moselle;Lunéville;54300;Lycée général et technologique Ernest Bichat;Public;62 rue de Paris
Meurthe-et-Moselle;Lunéville;54300;Lycée polyvalent Jacques-Marie Boutet de Monvel - lycée des métiers d'art et de la maîtrise de l'énergie électrique;Public;PASSAGE DE GRAVILLE
Meurthe-et-Moselle;Nancy;54042;Lycée général privé Notre Dame - Saint Sigisbert;Privé;5 avenue Henri Barbusse
Meurthe-et-Moselle;Nancy;54000;Lycée général et technologique Jeanne d'Arc;Public;65 avenue du Général Leclerc
Meurthe-et-Moselle;Pont-à-Mousson;54701;Lycée général et technologique Jacques Marquette;Public;1  PLACE JULES VERNE
Meurhte-et-Moselle;Saulxures-lès-nancy;54420;Lycée Frédéric Chopin;Public;
Meurthe-et-Moselle;Vandoeuvre-lès-Nancy;54500;Lycée général et technologique Jacques Callot;Public;152 avenue de Verdun
Moselle;Bitche;57230;Lycée Louis Casimir Teyssier;Public;
Moselle;Metz;57000;Lycée général et technologique Louis Vincent;Public;82 avenue Gambetta
Moselle;Metz;57045;Lycée général et technologique Georges de La Tour;Public;55 avenue Raspail
Moselle;Phalsbourg;57372;Lycée général et technologique Erckmann Chatrian;Public;2 rue COMPAGNON
Moselle;Sarrebourg;57401;Lycée polyvalent Mangin;Public;112 avenue Jean Jaurès
Bas-Rhin;Molsheim;67122;Lycée général et technologique Henri Meck;Public;1 rue DE L EUROPE
Bas-Rhin;Sélestat;67604;Lycée polyvalent Jean-Baptiste Schwilgué;Public;27 rue DU BALLET
Bas-Rhin;Strasbourg;67060;Lycée général privé le Gymnase Jean Sturm;Privé;24 avenue DE LA CHOLIERE
Bas-Rhin;Strasbourg;67061;Lycée général Fustel de Coulanges;Public;129 rue DU LANDREAU
Haut-Rhin;Ribeauvillé;68150;Lycée général et technologique Ribeaupierre;Public;Avenue DE GONTAUT BIRON
Nord;Villeneuve-d'Ascq;59650;Lycée général et technologique Raymond Queneau;Public;2 avenue des Flandres
Nord;Genech;59242;Lycée polyvalent Charlotte Perriand;Public;54 rue DE LILLE
Nord;Lille;59013;Lycée général Fénelon;Public;27 rue Pasteur
Nord;Lille;59003;Lycée général privé Thérèse d'Avila;Privé;Rue PAUL LANGEVIN
Nord;Marcq-en-Baroeul;59702;Lycée général Yves Kernanec;Public;8 boulevard du Général de Gaulle
Oise;Beauvais;60000;Lycée général et technologique Félix Faure;Public;19 bis rue DE LAHARPE
Oise;Nogent-sur-Oise;60180;Lycée d'enseignement général et technologique Marie Curie;Public;20 rue JEAN RICHEPIN
Pas-de-Calais;Lens;62303;Lycée général et technologique Condorcet;Public;9 rue Léo Lagrange
Pas-de-Calais;Saint-Omer;62505;Lycée général et technologique Alexandre Ribot - Lycée des Métiers de la Gestion de l'Administratif et du Commerce;Public;70 boulevard DE SAINT QUENTIN
Pas-de-Calais;Saint-Pol-sur-Ternoise;62165;Lycée général et technologique Albert Châtelet;Public;43 rue DES OTAGES
Somme;Amiens;80037;Lycée général Madeleine Michelis;Public;1 avenue JEAN MONNET
Paris;Paris  3e  Arrondissement;75003;Lycée général et technologique Simone Weil;Public;44 rue Emile Zola
Paris;Paris  3e  Arrondissement;75003;Lycée général et technologique Turgot;Public;267 rue FELIX FAURE
Paris;Paris  3e  Arrondissement;75003;Lycée général Victor Hugo;Public;25 rue Dumont d'Urville
Paris;Paris  4e  Arrondissement;75004;Lycée général Charlemagne;Public;2  RUE CHARLES SCHERER
Paris;Paris  4e  Arrondissement;75004;Lycée général et technologique privé Les Francs Bourgeois;Privé;Avenue JEAN PREVOST
Paris;Paris  5e  Arrondissement;75005;Lycée général Henri IV;Public;27 boulevard GUSTAVE EIFFEL
Paris;Paris  5e  Arrondissement;75005;Lycée général Louis Le Grand;Public;461  ROUTE DE BELBEUF
Paris;Paris  6e  Arrondissement;75006;Lycée général Montaigne;Public;4  RUE DU MAULEVRIER
Paris;Paris  5e  Arrondissement;75005;Lycée général Lavoisier;Public;197 avenue des Alliés
Paris;Paris  6e  Arrondissement;75006;Lycée privé Saint Sulpice;Privé;31 rue Blaise Pascal
Paris;Paris  6e  Arrondissement;75006;Lycée général et technologique privé Sainte Geneviève;Privé;1  AVENUE DES QUATRE CANTONS
Paris;Paris  6e  Arrondissement;75006;Ecole Alsacienne (Lycée général privé);Privé;84 rue Saint Gervais
Paris;Paris  6e  Arrondissement;75006;Lycée polyvalent privé Saint-Nicolas;Privé;1  RUE ALBERT DUPUIS
Paris;Paris  7e  Arrondissement;75007;Lycée général Victor Duruy;Public;39  RUE DE L'AVALASSE
Paris;Paris  8e  Arrondissement;75008;Lycée général et technologique Racine;Public;Allée JOACHIM DU BELLAY
Paris;Paris  8e  Arrondissement;75008;Lycée général et technologique Chaptal;Public;171 rue de Paris
Paris;Paris  9e  Arrondissement;75009;Lycée général Condorcet;Public;28 rue BIR HAKEIM
Paris;Paris 12e  Arrondissement;75012;Lycée général privé Saint Michel de Picpus;Privé;1 rue DE GASCOGNE
Paris;Paris 13e  Arrondissement;75013;Lycée général Claude Monet;Public;6 avenue HENRI DE BOURNAZEL
Paris;Paris 15e  Arrondissement;75015;Lycée général privé Sainte Elisabeth;Privé;
Paris;Paris 15e  Arrondissement;75015;Lycée général Buffon;Public;25  AVENUE G POMPIDOU
Paris;Paris 15e  Arrondissement;75015;Lycée général privé Blomet;Privé;1  RUE CH MANGOLD
Paris;Paris 15e  Arrondissement;75015;École Normale Catholique-Blomet;Privé;
Paris;Paris 16e  Arrondissement;75016;Lycée général Molière;Public;9 rue TURENNE
Paris;Paris 16e  Arrondissement;75016;Lycée général et technologique Jean-Baptiste Say;Public;Rue COULEAU
Paris;Paris 16e  Arrondissement;75016;Etablissement privé Notre-Dame des Oiseaux (Ecole secondaire privée);Privé;12 cours Gambetta
Paris;Paris 17e  Arrondissement;75017;Lycée privé Sainte Ursule-Louise de Bettignies;Privé;12 avenue DU 8 MAI
Paris;Paris 17e  Arrondissement;75017;Lycée général Carnot;Public;41 rue JAUFRE RUDEL
Paris;Paris 19e  Arrondissement;75019;Lycée général Georges Brassens;Public;Rue JEAN HAMEAU
Paris;Paris 20e  Arrondissement;75020;Lycée Privé Sainte-Louise;Privé;40  AVENUE HENRI BRULLE
Seine-et-Marne;Brie-Comte-Robert;77257;Campus Bougainvillle;Public;
Seine-et-Marne;Chelles;77500;Lycée général privé Guy Gasnier-Sainte Bathilde;Privé;12  ALLÉE GABRIEL DESHAYES
Seine-et-Marne;Melun;77007;Ecole générale et technologique privée Saint Aspais;Privé;7 rue Jules Ferry
Seine-et-Marne;Claye-Souilly;77410;Lycée professionnel le Champ de Claye - Lycée des métiers de l'énergie;Public;4 rue Michel-de-Montaigne
Seine-et-Marne;Tournan-en-Brie;77220;Lycée polyvalent Clément Ader;Public;8 rue Lepage
Yvelines;Achères;78260;Lycée polyvalent Louise Weiss;Public;AVENUE DU GROUPE MANOUCHIAN
Yvelines;Buc;78530;Lycée d'enseignement général Franco Allemand;Public;ALLÉE SAINT LOUIS - RN 568
Yvelines;Conflans-Sainte-Honorine;78700;Lycée général et technologique Jules Ferry;Public;8 boulevard de la Libération
Yvelines;Elancourt;78…;Lycée Dumont d’Urville;Public;/
Yvelines;Guyancourt;78041;Lycée général et technologique de Villaroy;Public;AVENUE GENERAL DE GAULLE
Yvelines;Mantes-la-Jolie;78201;Lycée général et technologique Saint-Exupéry;Public;131  AVENUE DR ALEXANDER FLEMING
Yvelines;Marly-le-Roi;78160;Lycée général et technologique Louis de Broglie;Public;10 BOULEVARD JEAN CRISTOFOL
Yvelines;La-Queue-dez-Yvelines;78940;Lycée Jean Monnet;Public;
Yvelines;Montigny-le-Bretonneux;78180;Lycée général et technologique privé Saint François d'Assise;Privé;218  RUE CHATEAU REDON
Yvelines;Montigny-le-Bretonneux;78180;Lycée général et technologique Descartes;Public;16 avenue GASTON CABRIER
Yvelines;Montigny-le-Bretonneux;78180;Lycée polyvalent Emilie de Breteuil;Public;21 montée  DU PUECH
Yvelines;Montigny-le-Bretonneux;78180;Lycée général et technologique privé Saint-Exupéry;Privé;MONTÉE DE LA TRANSHUMANCE
Yvelines;Les Mureaux;78131;Lycée général et technologique François Villon;Public;76 avenue GEORGES BOREL
Yvelines;Saint-Germain-en-Laye;78100;Lycée polyvalent privé Notre Dame;Privé;75 rue SAINT SAVOURNIN
Yvelines;Poissy;78300;Lycée général et technologique Le Corbusier;Public;ZONE D'ACTIVITÉ LA HAUTE BEDOULE
Yvelines;Rambouillet;78120;Lycée général et technologique privé Sainte Thérèse;Privé;BOULEVARD ALFRED CASILE
Yvelines;Rambouillet;78513;Lycée polyvalent Louis Bascan;Public;AVENUE YITZHAK RABIN
Yvelines;Saint-Germain-en-Laye;78101;Lycée d'enseignement général International;Public;108 avenue Roger Salengro
Yvelines;Saint-Germain-en-Laye;78101;Lycée général et technologique Jeanne d'Albret;Public;1 rue SAINT FRANCOIS DE SALES
Yvelines;Sartrouville;78500;Lycée général et technologique Evariste Galois;Public;13  RUE MONTGRAND
Yvelines;Versailles;78000;Lycée d'enseignement général Hoche;Public;231  RUE PARADIS
Yvelines;Versailles;78000;Lycée polyvalent Jules Ferry;Public;50  RUE DE LODI
Yvelines;Versailles;78000;Lycée général et technologique La Bruyère;Public;52  RUE AUGUSTE BLANQUI
Yvelines;Le Vésinet;78110;Lycée général et technologique privé Le Bon Sauveur;Privé;1 rue du Rempart
Yvelines;Villiers-Saint-Frédéric;78…;Lycée Viollet le Duc;Public;
Essonne;Dourdan;91410;Lycée polyvalent Nikola Tesla;Public;9  RUE DES FORGES
Essonne;Etampes;91150;Lycée général et technologique privé Jeanne d'Arc;Privé;50  BOULEVARD DE LA BARASSE
Essonne;Evry-Courcouronnes;91000;Lycée général et technologique Parc des Loges;Public;49  TRAVERSE CAPRON
Essonne;Gif-sur-Yvette;91192;Lycée général et technologique Vallée de Chevreuse;Public;38  RUE ELECTRICIENS  ST BARNABE
Essonne;Savigny-sur-Orge;91605;Lycée général et technologique Jean-Baptiste Corot;Public;538 chemin DE LA MADRAGUEVILLE
Hauts-de-Seine;Antony;92160;Lycée général et technologique privé Sainte Marie La Croix;Privé;1111 boulevard Léon Blum
Hauts-de-Seine;Boulogne-Billancourt;92100;Lycée du trapèze;Public;
Hauts-de-Seine;Boulogne-Billancourt;92100;Lycée général et technologique privé Notre Dame;Privé;2229 ROUTE DE FAVEYROLLES
Hauts-de-Seine;Clamart;92140;Lycée général et technologique Jacques Monod;Public;Boulevard de l'Europe
Hauts-de-Seine;Issy-les-Moulineaux;92130;Lycée polyvalent Eugène Ionesco;Public;20 rue DANTON
Hauts-de-Seine;Meudon;92190;Lycée général et technologique Rabelais;Public;251  RUE POURQUOI PAS
Hauts-de-Seine;Neuilly-sur-Seine;92200;Lycée d'enseignement général Louis Pasteur;Public;138  AVENUE DE TARASCON
Hauts-de-Seine;Saint-Cloud;92210;Lycée général et technologique Alexandre Dumas;Public;7 cours Aristide Briand
Hauts-de-Seine;Sceaux;92331;Lycée général et technologique Lakanal;Public;COLLINE ST EUTROPE
Hauts-de-Seine;Sceaux;92331;Lycée d'enseignement général Marie Curie;Public;ROUTE ETANG DE LA BONDE
Hauts-de-Seine;Sèvres;92310;Lycée général et technologique Jean-Pierre Vernant;Public;263  CHEMIN DE LUCETTE
Seine-Saint-Denis;La Courneuve;93120;Lycée général et technologique Jacques Brel;Public;3 rue Cyrille Robert
Hauts-de-Seine;Vanves;92174;Lycée général et technologique Michelet;Public;1  PLACE PIE
Seine-Saint-Denis;Montreuil;93100;Lycée général privé Henri Matisse;Privé;3 avenue NOEL FRANCHINI
Val-de-Marne;Champigny-sur-Marne;94507;Lycée polyvalent Louise Michel - Lycée des métiers de la santé;Public;60 chaussée SAINT MARTIN
Val-de-Marne;Le Kremlin-Bicêtre;94276;Lycée polyvalent Darius Milhaud;Public;1 rue du Collège
Val-de-Marne;Nogent-sur-Marne;94130;Lycée général Edouard Branly;Public;14 rue DES BENEDICTINS
Val-de-Marne;Vincennes;94307;Lycée général et technologique Hector Berlioz;Public;16 rue PORTE DE METZ
Val-de-Marne;Vitry-sur-Seine;94400;Lycée général et technologique privé Epin;Privé;1 place PAUL LEMAGNY
Val-d’Oise;Argenteuil;95100;Lycée Saint Joseph;Privé;
